frame,ball_carrier_speed,tackler_speed,shoulder_wrist_difference,tackler_shoulder_height,ball_carrier_wrist_height
0,0,0,-113.444885,264.24255,377.68744
1,0.0,0.0,-121.70062,260.54688,382.2475
2,0.0,0.0,-122.36395,263.0653,385.42926
3,0.0,0.0,-117.93674,267.23563,385.17236
4,0.0,0.0,-117.02875,270.0905,387.11926
5,0.0,0.0,-110.85727,275.26694,386.1242
6,0.0,0.0,-111.601746,274.7375,386.33923
7,0.0,0.0,-106.98242,278.50488,385.4873
8,0.0,0.0,-102.56915,276.9394,379.50854
9,0.0,0.0,-101.86371,279.23657,381.10028
10,0.0,0.0,-102.95636,281.73572,384.69208
11,0.0,0.0,-106.407074,283.691,390.09808
12,0.0,0.0,-106.125824,283.96664,390.09247
13,0.0,0.0,-106.685,280.0672,386.7522
14,0.0,0.0,-100.845184,288.41776,389.26294
15,0.0,0.0,-108.03107,288.20044,396.2315
16,0.0,0.0,-114.00223,282.57233,396.57455
17,0.0,0.0,-122.54901,276.43353,398.98254
18,0.0,0.0,-122.29047,276.28717,398.57764
19,0.0,0.0,-127.76581,277.18665,404.95245
20,0.0,0.0,-129.54468,273.65308,403.19775
21,0.0,0.0,-132.66995,272.71362,405.38358
22,0.0,0.0,-127.26984,272.1333,399.40314
23,0.0,0.0,-125.24585,274.3595,399.60535
24,0.0,0.0,-125.861176,274.09024,399.95142
25,0.0,0.0,-125.44092,274.53107,399.972
26,0.0,0.0,-120.24707,277.17847,397.42554
27,0.0,0.0,-122.27539,274.27618,396.55157
28,0.0,0.0,-113.39642,278.2777,391.67413
29,0.0,0.0,-120.17145,272.21844,392.3899
30,0.0,0.0,-119.97223,272.13605,392.10828
31,0.0,0.0,-118.02481,275.25668,393.2815
32,0.0,0.0,-121.861664,278.35715,400.2188
33,0.0,0.0,-107.20557,271.9715,379.17706
34,0.0,0.0,-115.9035,266.21863,382.12213
35,0.0,0.0,-120.56354,268.3566,388.92014
36,0.0,0.0,-120.079254,268.45035,388.5296
37,0.0,0.0,-119.54477,263.77863,383.3234
38,0.0,0.0,-131.47836,259.03693,390.5153
39,0.0,0.0,66.62776,260.2715,193.64375
40,0.0,0.0,-121.219055,259.98358,381.20264
41,0.0,0.0,-115.51398,258.19348,373.70746
42,0.0,0.0,-114.719574,258.1749,372.89447
43,0.0,0.0,-110.48413,263.3855,373.86963
44,0.0,0.0,-105.75403,262.57068,368.3247
45,0.0,0.0,-88.95325,266.0412,354.99445
46,0.0,0.0,-85.35199,267.66315,353.01514
47,0.0,0.0,-89.204346,268.77142,357.97577
48,0.0,0.0,-88.77374,268.72467,357.4984
49,0.0,0.0,87.77887,266.27417,178.4953
50,0.0,0.0,92.60614,269.6012,176.99506
51,0.0,0.0,-91.17145,263.0014,354.17285
52,0.0,0.0,-96.81378,263.9856,360.79938
53,0.0,0.0,-89.80682,263.92853,353.73535
54,0.0,0.0,-89.570984,264.053,353.624
55,0.0,0.0,-89.27368,267.20447,356.47815
56,0.0,0.0,-94.99518,263.78687,358.78204
57,0.0,0.0,-84.276276,267.58536,351.86163
58,0.0,0.0,-87.83807,264.25,352.08807
59,0.0,0.0,-82.86844,269.74875,352.6172
60,0.0,0.0,-84.029816,269.62576,353.65558
61,0.0,0.0,-84.052,269.15515,353.20715
62,0.0,0.0,-79.95767,272.52527,352.48294
63,0.0,0.0,-62.13742,277.56638,339.7038
64,0.0,0.0,-67.121155,282.40112,349.52228
65,0.0,0.0,-62.86505,279.3797,342.24475
66,0.0,0.0,-63.19226,279.53412,342.72638
67,0.0,0.0,-60.918976,284.4945,345.41348
68,0.0,0.0,-65.30353,281.39276,346.6963
69,0.0,0.0,-66.812805,285.2016,352.0144
70,0.0,0.0,-61.261658,288.47687,349.73853
71,0.0,0.0,-63.93402,290.1961,354.13013
72,0.0,0.0,-63.703064,290.13174,353.8348
73,0.0,0.0,-72.17737,289.3133,361.49066
74,0.0,0.0,-65.51343,290.10345,355.61688
75,0.0,0.0,-59.75238,297.47296,357.22534
76,0.0,0.0,-58.039276,301.67722,359.7165
77,0.0,0.0,-45.786285,303.58893,349.3752
78,0.0,0.0,-45.421356,303.6166,349.03796
79,0.0,0.0,-32.575775,307.82684,340.40262
80,0.0,0.0,-19.291016,319.60815,338.89917
81,0.0,0.0,-4.8969727,325.0948,329.99176
82,0.0,0.0,-2.703003,333.581,336.284
83,0.0,0.0,5.26709,343.9157,338.64862
84,0.0,0.0,5.279907,343.6681,338.38818
85,0.0,0.0,18.605469,357.76324,339.15778
86,0.0,0.0,20.891357,358.68878,337.79742
87,0.0,0.0,39.168457,374.2286,335.06015
88,0.0,0.0,43.25995,381.06683,337.8069
89,0.0,0.0,215.54749,388.72293,173.17545
90,0.0,0.0,214.46556,386.7117,172.24614
91,0.0,0.0,211.72762,386.7117,174.98409
92,0.0,0.0,203.28722,386.7117,183.42448
93,0.0,0.0,200.11037,386.7117,186.60133
94,0.0,0.0,10.780914,386.7117,375.9308
95,0.0,0.0,199.32054,386.7117,187.39116
96,0.0,0.0,199.32225,386.7117,187.38945
97,0.0,0.0,199.12473,386.7117,187.58698
98,0.0,0.0,200.5309,386.7117,186.1808
99,0.0,0.0,199.94809,386.7117,186.76361
101,0.0,0.0,183.73195,403.7613,220.02934
102,0.0,0.0,185.72469,404.11755,218.39287
103,0.0,0.0,136.76588,331.73624,194.97035
