frame,tackler_speed,ball_carrier_speed,shoulder_wrist_height_difference,tackler_shoulder_height,ball_carrier_waist_height
0,0,0,-33.512024,312.35797,379.53342
1,235.72922229766846,392.6414108276367,-32.553894,311.92883,371.72037
2,161.6392993927002,159.92075443267822,-34.66086,313.6956,379.42706
3,314.2682647705078,503.32860946655273,147.0793,315.83307,381.41147
4,41.27230525016785,306.0973834991455,143.73766,315.61255,383.69467
5,636.551685333252,155.75220108032227,-55.957275,318.72403,384.62137
6,22.604960203170776,91.83292865753174,-56.829346,318.58936,382.60532
7,29.45209801197052,122.25809097290039,-65.40863,319.06995,384.94568
8,355.9245300292969,385.36725997924805,-76.63849,317.5625,384.95657
9,466.41958236694336,415.16993522644043,-60.173035,318.1416,380.2708
10,167.08239555358887,238.6827278137207,-68.09607,313.04388,381.18353
11,622.3445892333984,146.60502433776855,-66.06836,315.18225,384.67377
12,18.344632387161255,12.184256315231323,-66.366394,315.07825,384.54865
13,91.34726285934448,186.05785846710205,-65.292786,316.84253,383.94647
14,250.98406791687012,359.97459411621094,-47.29373,321.70294,387.05692
15,149.96365070343018,695.6774711608887,-37.467346,322.0277,382.2168
16,324.52574729919434,197.91505336761475,-38.965363,321.4703,383.2688
17,208.76681327819824,525.6413269042969,-27.348969,321.1901,379.5876
18,15.290306210517883,287.625789642334,-26.644348,321.25598,381.28894
19,337.43250846862793,290.27692794799805,-17.53302,321.5968,380.04962
20,723.1621742248535,702.9955101013184,8.302612,329.1145,374.17587
21,644.6456336975098,373.4721565246582,8.683197,327.92847,373.55255
22,582.0460510253906,390.3130531311035,14.366974,328.24802,375.03168
23,375.3346538543701,262.07239151000977,9.539337,323.66467,379.03265
24,11.913969218730927,2.3958543688058853,9.786102,323.85025,378.96008
25,584.227352142334,503.4328079223633,7.6702576,322.35736,382.27386
26,180.68336963653564,382.7314281463623,-3.1915588,318.24796,386.90833
27,507.54432678222656,478.8551616668701,-10.448242,317.4533,388.74048
28,141.55609130859375,562.0813751220703,-17.002075,311.0949,389.74976
29,147.08593368530273,324.17778968811035,-17.151917,318.22345,383.61884
30,19.333369731903076,39.78220224380493,-15.811676,318.34998,384.37866
31,355.2047538757324,527.4818229675293,-15.66452,319.9955,393.19556
32,565.2627182006836,404.1270446777344,-17.127075,319.85602,387.03528
33,190.2184295654297,421.8818664550781,-7.619995,319.50842,384.9314
34,98.19625854492188,465.75204849243164,-12.791138,316.10858,382.81445
35,788.5360908508301,447.4903106689453,-6.097534,320.01367,388.9928
36,7.237240523099899,20.929298400878906,-5.856262,320.44354,389.03583
37,481.2858581542969,569.5251274108887,-14.822876,316.00262,381.44397
38,299.4826126098633,565.8643341064453,-14.698181,315.30743,380.276
39,215.62870502471924,320.1097297668457,-11.293701,311.02765,382.51532
40,404.5985984802246,516.3629150390625,-14.633789,312.24554,381.99323
41,577.4160003662109,511.8446731567383,-14.54776,306.13104,373.4901
42,8.99819701910019,13.223499655723572,-14.42981,306.1687,373.22458
43,282.38210678100586,490.14404296875,-18.495178,302.57422,377.55048
44,603.9401435852051,505.2807426452637,-13.19519,300.74872,378.49207
45,815.4428100585938,271.5501022338867,-18.90561,294.8528,381.8982
46,895.2432060241699,470.59593200683594,-17.711578,297.25974,382.63965
47,490.231990814209,292.9525566101074,-28.22998,288.88007,384.0932
48,8.381980955600739,6.284488141536713,-27.99118,288.9776,384.26337
49,136.94525241851807,390.8173084259033,-25.04065,290.60907,386.70068
50,1064.4227600097656,485.89616775512695,-30.805054,287.4032,382.47058
51,343.3054447174072,850.2850341796875,-31.106567,288.0467,381.09302
52,359.74419593811035,317.4609088897705,-27.435608,289.33728,377.00696
53,783.0337142944336,450.75642585754395,-15.707001,293.4018,373.44263
54,8.475394248962402,5.959534049034119,-16.004425,293.45532,373.6562
55,625.7012557983398,674.3458557128906,-10.527771,298.8487,384.62714
56,571.5773391723633,421.80084228515625,-19.799011,294.88843,383.53204
57,243.3852767944336,339.82821464538574,-19.408447,293.5003,385.74005
58,948.2601928710938,401.97858810424805,-17.342834,293.9533,381.44717
59,106.2103271484375,275.1466655731201,-19.008514,294.52567,385.439
60,31.765941381454468,12.834445238113403,-19.624817,294.3263,385.44867
61,1176.4041137695312,771.8597602844238,-30.347168,292.71368,384.2712
62,75.46350717544556,262.81139373779297,-39.219727,290.19812,389.09607
63,617.3415756225586,481.70299530029297,-39.167267,294.53665,390.4901
64,273.97027015686035,291.4494037628174,-44.694794,287.40408,394.68903
65,1040.3218460083008,569.1495895385742,-46.23462,290.23987,394.48566
66,70.63291311264038,11.887345612049103,-45.687042,290.74643,394.5489
67,191.95931911468506,491.69334411621094,-40.577637,294.32837,396.68277
68,279.1431427001953,388.6791801452637,-40.299377,294.93463,396.3424
69,476.6488552093506,261.8034267425537,-40.48993,295.86407,401.2751
70,344.5045566558838,494.9436378479004,-39.91385,299.87823,402.14108
71,228.72266292572021,357.1457290649414,-43.483612,301.97552,399.30847
72,12.581275999546051,3.774566352367401,-43.388916,302.03607,399.23462
73,290.1854610443115,184.6495771408081,-48.890778,301.7153,399.0099
74,296.10992431640625,219.41303730010986,-55.745483,304.3407,398.49554
75,588.7324905395508,287.3276710510254,-67.60953,305.85977,403.80463
76,225.25095462799072,314.1807174682617,-78.42267,303.56958,406.14142
77,352.0429229736328,465.4461479187012,-90.283295,305.60895,410.49744
78,12.778126001358032,5.049156993627548,-90.7457,305.34402,410.49487
79,124.43623065948486,251.35645866394043,101.892746,304.97815,410.6142
